relative_dir,run_id,file_count,size_bytes,has_summary,has_partial_summary,has_progress,status_file,status,row_count,expected_subject_count,subject_count,best_shared_recipe_id,best_deployable_recipe_id,best_deployable_idle_fp_per_min,best_deployable_control_recall,best_deployable_control_recall_at_2.5s,best_deployable_detection_latency_s
reports/external_frequency_sweep/server_freq_betaquick_20260506_183632,server_freq_betaquick_20260506_183632,2,63567,True,True,False,reports/external_frequency_sweep/server_freq_betaquick_20260506_183632/summary.json,ok,,,0,,,,,,
reports/external_frequency_sweep/server_freq_quickscreen_20260506_181543,server_freq_quickscreen_20260506_181543,2,94606,True,True,False,reports/external_frequency_sweep/server_freq_quickscreen_20260506_181543/summary.json,ok,,,0,,,,,,
reports/external_frequency_sweep/server_freq_sweep_fastsel_20260506_171343,server_freq_sweep_fastsel_20260506_171343,4,2057962,True,True,False,reports/external_frequency_sweep/server_freq_sweep_fastsel_20260506_171343/summary.json,ok,,,0,,,,,,
reports/external_frequency_sweep/server_freq_targeted_20260506_180700,server_freq_targeted_20260506_180700,2,152786,True,True,False,reports/external_frequency_sweep/server_freq_targeted_20260506_180700/summary.json,ok,,,0,,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_adaptive_evidence_weak_20260510_001100,external_short_pretrain_beta_adaptive_evidence_weak_20260510_001100,4,24873794,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_adaptive_evidence_weak_20260510_001100/reports/summary.json,ok,384,8,8,win1p75_me2_sm2_aeg,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_ecca5_gate_targeted_20260508_095117,external_short_pretrain_beta_ecca5_gate_targeted_20260508_095117,4,20279754,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_ecca5_gate_targeted_20260508_095117/reports/summary.json,ok,456,4,4,win1p25_me2_gap1,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_fbcca_ridge5_full_gate_20260508_103236,external_short_pretrain_beta_fbcca_ridge5_full_gate_20260508_103236,4,70727395,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_fbcca_ridge5_full_gate_20260508_103236/reports/summary.json,ok,1680,70,70,win1p5_me2_gap1,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_fullbank_freqdiag_weak_20260508_212000,external_short_pretrain_beta_fullbank_freqdiag_weak_20260508_212000,4,87764713,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_fullbank_freqdiag_weak_20260508_212000/reports/summary.json,ok,1728,12,12,win1p75_me2,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_fullbank_idleboth_smoke_20260508_211300,external_short_pretrain_beta_fullbank_idleboth_smoke_20260508_211300,4,79599,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_fullbank_idleboth_smoke_20260508_211300/reports/summary.json,ok,1,1,1,win1p25_me2_gap1,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_fullbank_personalized_smoke_20260508_205500,external_short_pretrain_beta_fullbank_personalized_smoke_20260508_205500,2,3213,False,True,False,reports/external_short_pretrain/external_short_pretrain_beta_fullbank_personalized_smoke_20260508_205500/reports/partial_summary.json,running,0,2,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_fullbank_personalized_smoke_20260508_210200,external_short_pretrain_beta_fullbank_personalized_smoke_20260508_210200,4,136334,True,True,False,reports/external_short_pretrain/external_short_pretrain_beta_fullbank_personalized_smoke_20260508_210200/reports/summary.json,ok,2,2,2,win1p25_me2_gap1,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_fullbank_sharedfreq_smoke_20260508_205000,external_short_pretrain_beta_fullbank_sharedfreq_smoke_20260508_205000,4,541092,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_fullbank_sharedfreq_smoke_20260508_205000/reports/summary.json,ok,10,2,2,win1p25_me2_gap1,,,,,
