"step","z","err","allow","zrate","theta","radius","stable","guard","soft","mp"
"1","160","0","0","0","0","0",,,,
"2","160","14.26","42.76","-6.3","-0.162","-0.77","0","False","True","geometry_subpixel"
"3","159.38","15.89","42","-6.3","-0.29","-0.474","0","False","True","geometry_subpixel"
"4","158.76","11.65","41.21","-6.3","-0.138","-0.599","0","False","True","geometry_subpixel"
"5","157.81","11.63","40.04","-6.3","-0.163","-0.518","0","False","True","geometry_subpixel"
"6","156.87","14.33","38.87","-6.3","-0.105","-0.81","0","False","True","geometry_subpixel"
"7","156.24","12.78","38.08","-6.3","-0.127","-0.663","0","False","True","geometry_subpixel"
"8","155.29","16.78","36.91","-6.3","-0.166","-0.853","0","False","True","geometry_subpixel"
"9","154.35","14.92","35.74","-6.3","-0.066","-0.844","0","False","True","geometry_subpixel"
"10","153.71","14.46","34.96","-6.3","-0.044","-0.821","0","False","True","geometry_subpixel"
"11","152.46","15.73","33.39","-6.3","-0.169","-0.715","0","False","True","geometry_subpixel"
"12","151.82","14.86","32.61","-6.3","0.028","-0.82","0","False","True","geometry_subpixel"
"13","150.57","13.61","31.05","-6.3","-0.144","-0.587","0","False","True","geometry_subpixel"
"14","149.93","12.25","30.26","-2.2","-0.093","-0.588","0","True","True","center_subpixel"
"15","149.51","13.57","29.74","-2.2","-0.077","-0.678","0","True","True","center_subpixel"
"16","149.07","14.14","29.19","-2.2","-0.063","-0.716","0","True","True","center_subpixel"
"17","148.85","13.05","28.91","-2.2","-0.077","-0.639","0","True","True","center_subpixel"
"18","148.52","12.75","28.5","-2.2","-0.075","-0.619","0","True","True","center_subpixel"
"19","148.19","12.72","28.09","-2.2","-0.064","-0.625","0","True","True","center_subpixel"
"20","147.97","12.77","27.82","-2.2","-0.072","-0.616","0","True","True","center_subpixel"
"21","147.63","11.55","27.41","-2.2","-0.082","-0.531","0","True","True","center_subpixel"
"22","147.3","10.04","27","-2.2","-0.098","-0.409","0","True","True","center_subpixel"
"23","147.08","8.57","26.72","-2.2","-0.032","-0.115","0","True","True","center_subpixel"
"24","146.75","6.68","26.31","-2.2","-0.035","-0.044","1","True","True","center_subpixel"
"25","146.42","6.89","25.9","-6.3","-0.039","-0.003","2","True","False","center_subpixel"
"26","146","5.67","25.38","-6.3","-0.032","-0.003","3","True","False","center_subpixel"
"27","145.05","6.8","24.2","-6.3","-0.035","0.038","4","True","False","center_subpixel"
"28","144.11","7.39","23.03","-6.3","-0.035","0.054","5","True","False","center_subpixel"
"29","143.48","7.82","22.25","-6.3","-0.037","0.056","6","True","False","center_subpixel"
"30","142.53","8.74","21.07","-2.2","-0.039","0.069","0","True","True","center_subpixel"
"31","142","8.44","20.41","-2.2","-0.036","0.071","0","True","True","center_subpixel"
"32","141.78","8.78","20.14","-2.2","-0.036","0.079","0","True","True","center_subpixel"
"33","141.45","7.66","19.73","-2.2","-0.034","0.056","1","True","True","center_subpixel"
"34","141.12","9.57","19.32","-2.2","-0.036","0.097","0","True","True","center_subpixel"
"35","140.89","9.05","19.04","-2.2","-0.032","0.096","0","True","True","center_subpixel"
"36","140.56","10.79","18.63","-2.2","-0.104","0.341","0","True","True","center_subpixel"
"37","140.23","13.11","18.22","-2.2","-0.109","0.452","0","True","True","center_subpixel"
"38","140.01","9.81","17.95","-2.2","-0.028","0.118","0","True","True","center_subpixel"
"39","139.57","10.74","17.4","-2.16","-0.099","0.335","0","True","True","center_subpixel"
"40","139.35","13.08","17.13","-2.13","-0.135","0.358","0","True","True","center_subpixel"
"41","138.92","10.77","16.6","-2.09","-0.115","0.272","0","True","True","center_subpixel"
"42","138.72","10.61","16.34","-2.06","-0.115","0.257","0","True","True","center_subpixel"
"43","138.4","11.21","15.95","-2.03","-0.107","0.319","0","True","True","center_subpixel"
"44","138.1","9.47","15.57","-2","-0.032","0.092","0","True","True","center_subpixel"
"45","137.9","11.6","15.32","-1.97","-0.116","0.301","0","True","True","center_subpixel"
