"方向","代号","标题","DOI","PMID","本地材料","当前用途"
"CCA baseline","lin_2007_cca","Frequency recognition based on canonical correlation analysis for SSVEP-based BCIs","10.1109/TBME.2006.889197","17549911","03_metadata/crossref_lin_2007_cca_10.1109_TBME.2006.889197.json; 04_source_pages/PubMed/pubmed_17549911.html","CCA baseline; method background"
"CCA baseline","bin_2009_cca","An online multi-channel SSVEP-based brain-computer interface using canonical correlation analysis","10.1088/1741-2560/6/4/046002",,"03_metadata/crossref_bin_2009_cca_10.1088_1741-2560_6_4_046002.json","CCA baseline; report method mapping"
"FBCCA","chen_2015_fbcca","Filter bank canonical correlation analysis for implementing a high-speed SSVEP-based brain-computer interface","10.1088/1741-2560/12/4/046008","26035476","03_metadata/crossref_chen_2015_fbcca_10.1088_1741-2560_12_4_046008.json; 04_source_pages/PubMed/pubmed_26035476.html","FBCCA; Chen-style subband weights"
"CCA variants","nakanishi_2015_cca_comparison","A comparison study of canonical correlation analysis based methods for detecting steady-state visual evoked potentials","10.1371/journal.pone.0140703",,"01_core_method_papers/2015_nakanishi_cca_comparison_plosone.pdf; 03_metadata/crossref_nakanishi_2015_cca_comparison_10.1371_journal.pone.0140703.json; 03_metadata/unpaywall/unpaywall_10.1371_journal.pone.0140703.json","IT-CCA/eCCA/template-assisted CCA; method comparison"
"TRCA","nakanishi_2018_trca","Enhancing Detection of SSVEPs for a High-Speed Brain Speller Using Task-Related Component Analysis","10.1109/TBME.2017.2694818","28436836","03_metadata/crossref_nakanishi_2018_trca_10.1109_TBME.2017.2694818.json; 04_source_pages/PubMed/pubmed_28436836.html","TRCA; TRCA spatial frontend"
"TRCA-R","wong_2020_trca_r","Spatial Filtering in SSVEP-Based BCIs: Unified Framework and New Improvements","10.1109/TBME.2020.2975552","32091986","03_metadata/crossref_wong_2020_trca_r_10.1109_TBME.2020.2975552.json; 04_source_pages/PubMed/pubmed_32091986.html","TRCA-R framework; spatial filtering background"
"TDCA","liu_2021_tdca","Improving the Performance of Individually Calibrated SSVEP-BCI by Task-Discriminant Component Analysis","10.1109/TNSRE.2021.3114340","34543200","01_core_method_papers/2021_liu_tdca_tnsre_author_copy.pdf; 03_metadata/crossref_liu_2021_tdca_10.1109_TNSRE.2021.3114340.json; 03_metadata/unpaywall/unpaywall_10.1109_TNSRE.2021.3114340.json; 04_source_pages/PubMed/pubmed_34543200.html","TDCA paper-aligned variant; local TDCA optimization"
"Async idle","zhang_2015_idle_state","Idle-State Detection for SSVEP-Based Brain-Computer Interfaces","10.1142/S0129065715500306","26246229","03_metadata/crossref_zhang_2015_idle_state_10.1142_S0129065715500306.json; 04_source_pages/PubMed/pubmed_26246229.html","idle/no-target detection; async control metrics"
"Dynamic stopping","nakanishi_2015_dynamic_stopping","A dynamic stopping method for improving performance of SSVEP-based BCIs","10.1109/EMBC.2015.7318547","26736447","03_metadata/crossref_nakanishi_2015_dynamic_stopping_10.1109_EMBC.2015.7318547.json; 04_source_pages/PubMed/pubmed_26736447.html","decision latency; stopping/release policy background"
"Pseudo-online evaluation","carrara_2024_pseudo_online","A pseudo-online framework for brain-computer interface evaluation","10.1088/1741-2552/ad171a","38113535","01_core_method_papers/2023_carrara_pseudo_online_arxiv.pdf; 03_metadata/crossref_carrara_2024_pseudo_online_10.1088_1741-2552_ad171a.json; 03_metadata/unpaywall/unpaywall_10.1088_1741-2552_ad171a.json; 04_source_pages/PubMed/pubmed_38113535.html","pseudo-online evaluation; replay/report metrics"
"External dataset","beta_ssvep_database","BETA SSVEP database","10.6084/m9.figshare.12264401",,"02_dataset_references/BETA/figshare_article_12264401_metadata.json; 02_dataset_references/BETA/Description.pdf; 02_dataset_references/BETA/Description.txt","external short-pretrain benchmark; BETA sanity/full sweep"
"External dataset","wang2016_ssvep_benchmark","Wang2016 SSVEP benchmark",,,"02_dataset_references/Wang2016/zenodo_record_14865172_metadata.json; 02_dataset_references/Wang2016/Readme.txt; 02_dataset_references/Wang2016/64-channels.loc","external benchmark confirmation; frequency selection"
